0,95.5
1,105
2,123
3,97
4,61
5,92
6,64.5
7,90.5
8,79
9,77
10,52
11,83
12,59
13,67.5
14,57
15,69.5
16,66.5
17,38
18,4.5
19,79
20,57
21,75
22,70.5
23,61
24,44
25,48
26,40
27,48
28,60
29,38
30,34
31,27
32,36
33,52.5
34,64.5
35,66.5
36,65
37,37.5
38,48.5
39,38
40,48.5
41,48.5
42,44
43,29
44,37.5
45,29.5
46,59
47,56
48,56.5
49,44.5
50,59
51,44
52,47.5
53,36
54,56
55,45
56,40.5
57,33
58,46
59,42.5
60,36
61,43
62,34.5
63,25.5
64,44.5
65,41
66,22.5
67,13.5
68,10.5
69,51.5
70,46.5
71,42
72,45
73,48.5
74,24.5
75,39
76,22
77,34
78,35.5
79,30
80,30.5
81,46
82,37.5
83,37.5
84,43.5
85,33
86,28.5
87,28.5
88,24.5
89,25
90,26
91,5
92,35.5
93,46
94,43.5
95,35.5
96,43
97,39
98,32
99,39.5
100,42
101,41
102,32.5
103,31
104,39.5
105,31.5
106,31.5
107,32
108,35
109,30.5
110,26
111,18.5
112,31.5
113,28
114,31.5
115,29
116,25
117,25
118,30.5
119,23
120,29.5
121,28
122,21
123,21
124,9
125,31
126,11
127,41.5
128,40
129,34
130,28.5
131,25.5
132,38.5
133,34
134,30.5
135,26
136,29.5
137,32.5
138,37
139,31.5
140,30.5
141,27.5
142,29.5
143,30.5
144,27.5
145,34
146,27.5
147,27
148,22.5
149,29
150,25
151,26.5
152,24.5
153,26
154,20
155,21
156,25.5
157,25.5
158,26
159,26.5
160,27
161,24
162,
163,21
164,27
165,24.5
166,24.5
167,
168,25
169,25.5
170,23.5
171,25
172,20
173,25.5
174,17.5
175,21
176,25.5
177,16.5
178,25
179,14.5
180,19
181,17
182,19
183,25
184,20
185,17.5
186,17.5
187,14.5
188,6
189,19.5
190,10.5
191,15.5
192,24.5
193,10.5
194,10.5
195,15.5
196,12.5
197,3.5
198,28.5
199,34.5
200,26
201,30.5
202,22
203,28
204,26
205,32.5
206,26
207,30.5
208,30.5
209,30
210,33
211,30
212,28
213,26
214,32
215,18
216,21.5
217,22.5
218,30
219,21.5
220,27.5
221,24.5
222,28
223,24
224,24
225,18
226,22
227,27.5
228,23
229,29.5
230,29.5
231,31
232,25
233,21
234,28
235,28
236,17
237,27.5
238,23
239,23
240,29
241,18
242,17
243,20
244,28
245,21.5
246,26
247,24
248,22
249,17
250,18.5
251,23
252,21.5
253,21.5
254,23
255,24.5
256,25.5
257,18
258,23
259,23
260,22.5
261,21.5
262,22
263,13.5
264,18
265,13.5
266,15
267,27
268,16.5
269,21.5
270,9
271,22
272,20.5
273,20
274,
275,9
276,14
277,6.5
278,23.5
279,21
280,22.5
281,13.5
282,20.5
283,21
284,12.5
285,12.5
286,12.5
287,14
288,20.5
289,15
290,15
291,14
292,20
293,17.5
294,20.5
295,12.5
296,10
297,8.5
298,12.5
299,31
300,20.5
301,25
302,24.5
303,21
304,21.5
305,22
306,23
307,24.5
308,17
309,23
310,20.5
311,24
312,24.5
313,24
314,23.5
315,24
316,17
317,23
318,21
319,22
320,21
321,18
322,21
323,18.5
324,24
325,23.5
326,17.5
327,15
328,19.5
329,21
330,18.5
331,24
332,22.5
333,22.5
334,18
335,19
336,18
337,17.5
338,21
339,17.5
340,18.5
341,18.5
342,17
343,18.5
344,23
345,18
346,17.5
347,22.5
348,14.5
349,18
350,14
351,17
352,17.5
353,22
354,20
355,24.5
356,20.5
357,18
358,17.5
359,18
360,20.5
361,22
362,18
363,13.5
364,18
365,17
366,12
367,21
368,14
369,16
370,11.5
371,14
372,12
373,13
374,17.5
375,17
376,10
377,11
378,17
379,7
380,16
381,10.5
382,7
383,3.8
384,13.5
385,4.2
386,9
387,15.5
388,10
389,5.5
390,11
391,6.5
392,22
393,20
394,23.5
395,17.5
396,19.5
397,14
398,16
399,22
400,19.5
401,19
402,20
403,20.5
404,17
405,17.5
406,19.5
407,14
408,19.5
409,15.5
410,15.5
411,20.5
412,14
413,16
414,19
415,16.5
416,20.5
417,20
418,17
419,11.5
420,14
421,19.5
422,16
423,16.5
424,15
425,19
426,17.5
427,13.5
428,15
429,18.5
430,18.5
431,20
432,15
433,19.5
434,14.5
435,17.5
436,10
437,15
438,17
439,17.5
440,17.5
441,12
442,18
443,15
444,13
445,12
446,16
447,13.5
448,19
449,17.5
450,15.5
451,16
452,13.5
453,11
454,15.5
455,16.5
456,17
457,17.5
458,17.5
459,11.5
460,14.5
461,13.5
462,11.5
463,14.5
464,14.5
465,14.5
466,14.5
467,9.5
468,9.5
469,13.5
470,13.5
471,12.5
472,
473,11.5
474,14
475,14
476,14.5
477,11
478,11.5
479,9.5
480,14
481,10.5
482,14.5
483,10.5
484,13.5
485,16.5
486,18.5
487,12
488,
489,10
490,10.5
491,8
492,10
493,10
494,15
495,8.5
496,6
497,12
498,11
499,13
500,13
501,8.5
502,12
503,6
504,9
505,7.5
506,6
507,6
508,6.5
509,9.5
510,4.5
511,10
512,6
513,7.5
514,4.5
515,1.7
516,8
517,1
518,3.5
519,16.5
520,18
521,15.5
522,11
523,17
524,16
525,15
526,12.5
527,14.5
528,18.5
529,13.5
530,13.5
531,17.5
532,12.5
533,12
534,19
535,18
536,11
537,18.5
538,16
539,17
540,15
541,18
542,14
543,17
544,17.5
545,14
546,13.5
547,15
548,16
549,17
550,16.5
551,16.5
552,17.5
553,18
554,16.5
555,16.5
556,18.5
557,14
558,13
559,17
560,16.5
561,18
562,13.5
563,13.5
564,16
565,15
566,13
567,13.5
568,15.5
569,14.5
570,14.5
571,14
572,17
573,10
574,12.5
575,16
576,16
577,13
578,13.5
579,12.5
580,14.5
581,13
582,12.5
583,16
584,13
585,13
586,14
587,17.5
588,12.5
589,15.5
590,15.5
591,13
592,12
593,13.5
594,16.5
595,15
596,13.5
597,13.5
598,12.5
599,8
600,16
601,12.5
602,9.5
603,13
604,10.5
605,15.5
606,15.5
607,12
608,11.5
609,11
610,16
611,15.5
612,8.5
613,9.5
614,13
615,10.5
616,12
617,13
618,14.5
619,10
620,12.5
621,9.5
622,10
623,10
624,13
625,10
626,14
627,8
628,8
629,13
630,13.5
631,12.5
632,12.5
633,10
634,10
635,7.5
636,12
637,10
638,9.5
639,9
640,10
641,9.5
642,9.5
643,12.5
644,15
645,12
646,8.5
647,13
648,9
649,11.5
650,9.5
651,12
652,9
653,12.5
654,11.5
655,11
656,5
657,10
658,
659,13
660,10
661,10
662,8
663,11.5
664,11
665,5
666,5
667,9
668,9.5
669,6.5
670,11
671,11.5
672,14
673,1.7
674,3
675,7.5
676,5
677,10
678,7.5
679,11.5
680,6.5
681,7
682,7.5
683,3
684,8
685,6.5
686,5
687,1.7
688,7
689,850
690,4.2
691,4
692,1.7
693,4
694,9
695,15.5
